fine_label	utterance
flight	i want to make a round trip flight from washington to san francisco and return
airfare	what are the coach fares from charlotte to la wednesday night
flight	now i need a flight from detroit to san diego leaving tuesday evening
airport	houston airports
airfare	show me the cheapest one way fares from san diego to miami
flight	show me the latest flight to love field
flight	show me the qx fare flights between atlanta and oakland on delta airlines
flight	i 'd like to see flights from pittsburgh to philadelphia
flight	find me the cheapest flight from boston to washington
flight	could you give me a flight between pittsburgh and philadelphia
flight	show me the least expensive flight from miami to cleveland on sunday after noon
flight	show me the earliest flights from boston to denver on wednesday
flight	i 'm looking for a flight traveling from boston to denver one way and the cheapest way possible
flight	show me the nonstop flights from atlanta to oakland that leave in the afternoon and arrive between 430 pm and 630 pm
flight	i 'd like to see flights from baltimore to atlanta
flight	show me all flights from baltimore to philadelphia
aircraft	what kinds of planes are used by american airlines
unk	on the flight from baltimore to san francisco on us air leaving at 420 what type of aircraft is used
flight	list all flights on continental leaving denver
flight	show afternoon flights from dallas to san francisco
flight	show me all flights from boston to denver which arrive in denver wednesday before noon
flight	all flights from washington dc to san francisco after 5 pm on november twelfth economy class
airfare	what is the airfare between denver and pittsburgh
ground_service	i need information for ground transportation denver colorado
flight	what are the flights dallas to boston on monday morning
flight	give me flights from atlanta to baltimore
unk	is there a flight leaving at 1505 from pittsburgh to baltimore on july twenty fifth 1991
flight	what is the cheapest flight from boston to atlanta
flight	list all flights from new york to las vegas that fly nonstop on sunday and list flights from memphis to las vegas that fly nonstop on sunday
flight	what is the first flight from atlanta to boston on thursday september fifth that leaves after 8 am
unk	thank you for that information now i would like information on a flight on april sixteen from atlanta to philadelphia early in the morning
airfare	what is the cost of flights from denver to san francisco
unk	show me the cheapest fare from baltimore to dallas
unk	i 'd like to see the flights from denver to philadelphia again
flight	show me the flights from boston to san francisco
flight	show me the flights from atlanta to baltimore
flight	what flights are available friday from philadelphia to oakland
flight	i would like to fly from boston to atlanta
flight	okay and can you tell me for flights departing from dallas to philadelphia the latest flight you would have departing from dallas to philadelphia
airline	please show me airlines with flights from denver to boston stop philadelphia
flight_no	which is the flight number for the us air flight from philadelphia to boston is it 279 or is it 137338
ground_service	please list ground transport in san francisco
flight	could you please show me all the weekday flights between denver and dallas
flight	show me all flights from san diego to miami with a stop in denver
ground_service	what ground transportation is available in san francisco
flight	i would like to book a flight from denver to pittsburgh on july fifteenth i 'd like it to be the cheapest flight
flight	what flights from tampa to cincinnati
airline	which airlines fly between boston and philadelphia
flight	list flights from phoenix to detroit on thursday june twenty fourth
flight	all flights to baltimore after 6 pm
flight	i need information for flights leaving san francisco on thursday evening and returning to boston
unk	please give me ground transportation information for denver
unk	what is the economy thrift fare from boston to washington
flight	when can i fly from philadelphia to dallas on a saturday morning
flight	show me us air flights from san francisco to pittsburgh on tuesday
flight	what is the earliest flight leaving boston and arriving in atlanta on november seventh
distance	how far from the airport in the dallas fort worth airport is dallas
flight	are there any american airlines flights flying into pittsburgh between 12 and 4 in the afternoon
flight	list all flights from washington dc to tampa florida
flight	i also need service from dallas to boston arriving by noon
ground_service	i would like information on ground transportation in the city of atlanta from airport to downtown
flight	i 'd like information on boston to washington
airline	show me airlines going from pittsburgh going to denver and then continuing to san francisco on monday
flight	i 'd like to make a trip from washington to san francisco
flight	does american airlines fly from pittsburgh to atlanta
flight	show me the earliest flight on wednesday from baltimore to newark
flight	do you have a flight from philadelphia to san francisco with a stopover in dallas
flight	show me all flights to dallas that are less than 1500 dollars round trip
abbreviation	what does the fare code qw mean
flight	information on round trip flights from pittsburgh to san francisco first class
unk	flights from newark to cleveland 5 o'clock pm daily
flight	what flights from cincinnati to tampa
flight	what flights are between washington and san francisco
flight	what is the earliest flight from boston to dallas fort worth leaving august eighth
capacity	how many passengers fit on a d9s
abbreviation	what is fare code qo mean
unk	what flights are available friday afternoon from philadelphia to oakland california
flight	list all united flights from boston to san francisco with fare code qx
airfare	can you tell me the cheapest one way fare from boston to san francisco
flight	what 's the last flight from houston to dallas
